DISTRESS.1 DISTRESS.2 BLACK NBHISP GRADE SLFHLTH SLFWGHT WORKHARD GOODQUAL PHYSFIT PROUD LIKESLF ACCEPTED FEELLOVD DIET 
0.63 0.60 0 0  9 2 5 2 1 3 1 3 1 1 1
1.32 0.94 1 0  9 1 3 2 1 2 1 2 1 1 0
1.63 1.02 0 0  9 2 3 3 2 2 1 2 2 1 1
0.37 0.88 0 0  9 2 3 1 1 1 2 1 2 2 0
0.74 0.61 0 1 10 2 3 2 2 1 2 1 1 1 0
0.26 0.24 0 0 11 3 3 3 2 2 2 1 2 3 0
0.26 0.32 1 0 11 2 3 2 1 2 1 1 1 2 0
0.47 0.08 1 0 11 3 3 3 1 2 1 1 1 1 0
0.68 0.40 0 0  9 3 3 2 2 3 2 2 3 1 0
0.21 0.46 0 1  8 1 3 2 2 2 2 3 3 2 0
1.32 0.92 1 0  9 2 4 2 2 2 2 2 3 1 0
1.21 0.67 0 0 10 3 4 4 2 4 2 2 2 2 1
0.63 0.02 0 0 11 1 4 2 2 3 2 3 4 3 1
0.58 0.59 0 1 11 3 1 1 2 2 2 3 2 2 0
0.53 0.90 0 0 11 1 3 2 1 1 1 1 2 2 0
0.63 1.51 0 0  7 4 5 2 3 5 4 5 4 4 1
0.53 0.61 0 1  8 1 2 3 2 2 3 2 2 2 0
0.89 1.35 0 1 10 3 4 2 1 2 2 2 2 2 0
0.68 0.55 0 0 11 2 3 2 2 2 2 2 2 1 0
0.63 0.44 0 0 11 2 3 4 2 3 2 4 2 2 0
0.32 0.41 0 0  7 2 1 3 1 4 1 1 2 2 1
0.37 0.40 0 0  7 3 4 3 2 3 2 1 4 2 0
0.00 0.03 0 1 11 1 3 2 1 2 1 2 1 1 0
1.00 0.04 0 0 10 2 4 2 2 3 2 3 3 2 0
1.05 1.09 0 0 10 1 3 1 1 2 1 2 2 1 1
1.26 0.63 0 1 11 1 3 2 1 1 1 1 1 1 0
0.58 0.48 0 1  7 2 5 2 1 2 1 1 2 2 0
0.79 0.96 0 0  7 2 5 3 1 2 1 2 2 1 0
0.00 0.01 0 0  7 1 2 2 1 1 1 1 1 1 0
0.16 0.16 0 1  9 1 3 1 1 2 1 1 1 1 0
0.26 0.08 0 0  8 1 3 3 2 1 2 1 2 2 0
0.63 0.21 0 0  7 2 3 3 1 2 1 2 1 1 0
0.53 0.61 0 0 10 2 4 1 2 4 2 3 2 1 1
0.05 0.08 0 0  7 2 5 1 1 1 1 1 1 1 1
0.26 0.01 0 0  9 3 5 1 2 4 2 3 2 1 1
1.47 0.91 0 0  7 1 3 1 1 1 1 1 1 1 0
1.26 2.36 0 0 10 2 4 2 3 2 5 4 5 3 0
1.68 1.08 0 1 10 1 2 4 3 2 2 2 2 1 0
1.95 0.03 0 0 10 2 3 2 3 2 2 3 3 2 0
0.74 1.37 0 0 10 2 3 1 2 1 2 2 1 2 0
0.42 0.37 1 0 11 2 3 2 1 1 2 2 2 1 0
1.16 0.87 0 1  9 2 4 1 2 1 2 2 2 2 0
0.79 0.74 1 0 11 2 3 4 1 1 1 2 1 1 0
0.47 0.58 0 0  8 3 3 2 2 2 1 3 2 1 0
0.53 0.69 0 0 11 5 4 1 2 4 2 2 2 1 0
0.11 0.18 0 0  9 2 3 2 2 2 2 2 3 2 0
0.42 0.67 1 0 10 3 4 2 1 3 2 1 1 1 0
1.53 0.88 0 0  8 4 2 4 3 3 2 2 2 1 0
0.74 0.57 0 1 11 2 3 2 3 2 3 4 2 3 0
1.58 0.68 1 0  8 3 3 2 2 3 2 2 3 4 0
0.21 0.19 0 0  7 1 3 2 1 2 2 2 3 2 0
0.26 0.68 1 0 10 4 4 2 2 3 2 2 2 1 0
0.42 0.77 1 0 11 2 2 2 2 2 1 1 2 2 0
0.53 0.08 0 1 11 2 3 1 2 2 1 3 1 2 0
0.68 0.26 0 0  9 2 4 4 2 2 2 2 2 2 0
0.58 0.86 0 0 10 2 2 3 3 3 4 4 4 4 0
0.37 0.49 1 0  8 2 3 2 1 1 1 1 1 1 0
0.58 1.59 0 0 10 1 5 1 2 3 2 3 2 2 1
0.16 0.38 0 0  9 2 3 2 1 2 1 2 1 2 0
0.21 0.26 0 0 10 1 4 2 1 2 1 2 1 1 0
0.84 0.66 0 0 10 4 5 1 2 3 1 3 2 1 1
0.53 0.55 0 1  9 4 4 4 2 2 2 2 2 2 0
0.68 1.63 1 0 10 3 3 3 2 2 2 3 3 3 0
0.32 0.48 1 0  8 1 3 2 2 2 1 1 1 1 0
0.74 1.71 0 1  9 2 4 1 1 2 1 3 2 1 0
1.00 1.08 0 0  9 3 3 4 2 4 3 2 3 2 0
0.68 0.85 0 0 11 2 3 2 2 1 2 2 1 2 0
0.95 1.24 0 0 10 1 4 3 2 2 2 2 2 1 0
0.16 0.14 0 0  8 1 2 2 2 2 1 1 2 1 0
0.68 0.97 0 0  8 4 4 2 2 1 3 3 3 2 0
0.42 0.19 0 1 10 3 4 1 2 4 1 3 2 2 0
0.47 0.18 0 0  9 2 2 3 2 1 2 2 1 1 0
0.21 0.04 0 1 11 2 3 2 3 3 3 3 2 2 0
0.21 0.42 0 0 11 1 3 2 1 1 1 2 2 1 1
1.16 1.30 1 0 10 1 4 2 2 2 2 2 2 2 0
0.89 0.18 1 0 10 4 4 1 2 4 2 2 3 2 0
0.89 1.49 1 0 10 2 4 5 2 3 1 2 2 2 1
2.37 1.68 0 0 11 2 4 2 2 4 2 3 4 3 0
0.58 1.73 0 1 11 2 3 3 1 2 2 1 1 2 0
0.16 1.54 0 0  9 1 5 2 3 4 4 5 5 4 0
0.68 0.84 0 0 11 2 4 2 2 4 2 4 3 2 1
0.37 0.43 0 0  7 3 4 1 2 2 1 1 2 1 0
0.37 0.19 0 0  9 3 5 2 3 4 3 3 4 3 1
0.68 0.46 1 0 11 3 3 1 1 2 1 2 2 1 0
1.32 0.67 0 0  9 2 3 2 2 2 1 3 2 2 0
0.42 0.50 1 0 11 3 3 1 1 1 1 1 1 1 0
1.89 0.84 0 0  7 1 4 2 1 2 1 3 2 2 1
0.32 0.39 0 0 10 3 4 2 2 1 1 1 1 1 0
1.79 0.94 1 0  8 2 4 2 1 3 1 1 2 1 0
0.21 0.90 0 0  9 2 3 2 3 4 3 4 4 4 0
0.95 0.33 1 0  7 2 4 1 1 1 1 2 1 1 0
1.95 1.72 0 0  9 2 3 2 1 3 3 2 3 3 0
0.89 0.62 1 0 11 2 3 2 2 4 2 1 3 2 0
0.32 2.33 0 0 10 3 3 2 2 3 2 2 4 3 1
1.11 1.58 0 0 11 3 3 1 2 3 3 2 2 3 1
0.74 0.25 1 0  7 3 3 2 1 2 1 2 1 1 0
0.37 1.22 1 0 11 3 3 1 2 3 2 4 2 4 0
0.37 0.30 1 0 10 2 3 1 2 2 1 2 2 1 0
0.42 0.09 1 0  7 2 2 1 1 1 1 2 1 1 0
1.74 1.11 1 0  8 1 3 2 2 1 1 2 1 1 0
0.42 0.39 0 0 10 1 3 2 1 1 1 1 2 1 0
0.26 0.17 0 1 10 2 3 2 2 1 2 2 2 2 0
0.68 0.64 0 1  7 1 4 1 1 1 3 1 1 1 0
0.53 0.07 0 0  9 1 3 2 1 2 1 2 2 1 0
0.05 0.04 0 0  7 2 2 1 1 2 1 2 1 1 1
0.74 0.33 0 1 10 3 3 1 2 2 2 3 1 2 1
0.63 0.78 0 0  7 2 2 4 2 2 2 2 1 2 0
0.32 0.05 0 0 10 1 1 1 2 1 1 1 1 1 1
0.58 1.05 0 0  9 2 4 2 4 4 4 4 5 4 0
1.29 1.11 1 0  8 3 3 3 1 1 1 1 1 1 0
0.42 0.20 0 0  9 1 4 2 2 2 1 2 2 2 1
0.26 0.53 0 0  9 2 4 1 2 4 3 4 3 1 0
1.05 0.45 0 0 10 2 3 2 1 2 2 5 2 2 0
1.11 1.17 0 0  7 3 4 3 2 3 3 4 2 2 1
1.00 0.63 0 0  7 4 4 2 2 2 1 1 1 1 0
1.05 0.90 0 1 11 2 3 2 2 4 2 2 4 3 0
0.58 0.62 0 0  9 3 3 3 2 2 1 1 2 2 0
0.79 0.57 1 0 10 2 3 1 2 1 2 1 1 1 0
1.16 0.60 0 0  9 2 4 3 3 2 3 3 4 3 0
0.37 0.58 1 0  7 3 4 2 2 2 1 2 1 1 0
1.00 0.81 0 0  9 3 3 2 2 3 2 2 3 2 0
1.68 1.21 0 1  9 1 3 5 3 4 3 4 3 3 0
0.79 0.30 0 1  9 3 4 3 2 2 2 3 2 2 1
1.16 0.69 1 0 10 2 4 3 2 2 1 2 1 2 0
0.47 0.43 0 0 10 4 4 3 3 4 2 3 3 2 0
0.74 1.54 0 0 11 1 4 1 1 2 1 2 3 1 0
0.63 1.55 1 0  8 2 3 3 2 2 2 3 4 3 0
0.42 0.33 0 1  9 2 2 4 3 2 3 2 4 3 0
0.68 0.41 1 0 10 2 3 2 1 1 1 1 2 2 0
0.37 0.75 0 0  7 2 3 2 1 1 1 1 1 1 0
0.95 1.63 0 1 10 2 4 3 3 3 2 4 4 4 0
1.21 1.43 0 0  9 2 4 4 2 1 2 2 3 3 1
0.84 0.40 0 0 11 1 3 1 1 2 1 1 1 1 0
0.21 0.20 0 0 11 3 3 3 2 3 1 2 1 1 0
0.26 0.36 0 0  7 2 1 1 1 1 1 1 1 1 0
1.26 1.74 0 0 10 3 3 3 2 2 2 2 2 2 0
0.37 0.35 0 0  9 1 3 3 2 3 3 2 3 2 0
0.53 0.43 0 0 11 2 2 2 1 2 2 2 2 2 0
0.68 0.70 0 0 10 3 4 2 2 2 1 2 1 1 1
0.95 0.55 0 0 10 3 4 2 1 2 1 1 2 2 1
0.21 0.09 1 0 10 2 2 2 1 2 1 1 1 1 1
0.58 0.70 0 0  8 2 3 3 1 1 1 2 1 1 0
0.63 0.18 0 0 10 2 3 2 1 2 1 3 2 1 0
0.42 0.67 0 0  7 2 2 2 2 2 1 2 4 2 1
0.63 0.37 0 1 11 2 3 2 2 3 2 3 2 2 0
0.42 2.01 1 0 10 3 3 2 2 2 1 1 2 1 0
0.11 0.12 0 0  9 1 3 2 2 2 2 3 4 2 0
0.11 0.18 0 0  9 2 3 4 1 2 2 1 3 2 0
0.21 0.24 0 0 10 2 4 3 2 2 1 2 2 2 0
0.05 0.32 0 0 11 1 2 2 1 1 1 1 1 1 0
0.21 0.38 1 0  7 2 4 3 2 4 2 3 2 1 0
1.68 0.99 0 0 10 4 3 4 3 3 2 3 2 2 0
0.32 0.34 1 0  9 3 3 1 1 2 1 1 1 2 0
0.95 1.24 1 0 11 4 4 2 2 4 2 3 2 1 0
0.11 0.21 1 0  7 3 4 3 2 3 2 1 1 1 0
0.47 0.72 1 0  8 2 3 2 1 2 1 2 1 1 0
0.42 0.92 0 0  7 4 4 2 2 4 3 3 3 2 1
0.42 0.67 0 0 10 1 3 2 2 3 2 2 2 2 0
0.32 0.26 1 0 11 3 2 3 1 2 2 1 1 2 0
0.63 1.29 1 0  7 3 4 2 4 5 4 5 4 3 0
0.37 0.58 1 0 10 1 3 2 1 2 2 2 2 1 0
0.89 0.10 0 0  9 3 4 3 2 2 2 2 2 2 0
0.42 0.66 0 0  9 3 4 4 1 2 1 1 4 2 0
0.47 2.11 0 0  7 2 3 2 2 2 2 3 3 2 0
0.05 0.14 0 0  7 2 3 3 1 2 1 1 4 1 0
0.32 0.78 0 0 10 3 4 2 2 3 2 4 4 2 1
0.89 0.49 0 0  7 1 3 2 1 1 1 3 2 2 0
1.05 0.95 0 0 10 1 1 2 3 2 2 2 2 2 0
0.47 0.26 0 0  8 3 3 2 2 4 2 2 3 2 0
0.42 0.57 1 0 11 2 3 2 1 1 1 1 1 1 0
0.21 0.20 0 0  7 2 4 3 2 2 2 2 2 1 1
0.89 0.82 0 0 10 4 5 2 2 3 2 2 4 2 1
0.42 0.95 1 0  8 1 5 4 1 2 1 1 1 1 1
0.16 0.22 0 0  8 2 4 4 2 3 1 2 2 2 0
0.26 0.40 0 0  9 3 3 2 2 3 1 2 1 1 0
0.32 0.97 0 0  7 2 4 3 2 2 2 2 2 2 0
0.53 0.41 1 0  7 1 3 1 1 2 2 2 1 1 0
0.42 0.36 0 0  7 1 2 1 1 1 1 1 1 1 0
0.74 1.37 0 0 10 3 1 4 4 3 2 4 1 2 0
0.95 2.00 1 0 10 3 4 2 2 2 2 1 4 2 0
0.89 1.88 0 0 10 1 4 2 1 2 1 2 2 1 0
0.74 0.60 0 0  8 1 1 2 1 1 2 1 1 1 0
0.37 1.05 0 0  9 3 4 2 3 3 2 1 3 3 1
0.63 1.21 0 0 11 1 2 2 1 1 1 1 1 1 0
0.63 1.05 0 0 11 4 3 3 4 2 4 4 3 4 0
0.58 1.03 0 0 10 3 2 4 4 3 5 4 3 3 0
0.63 0.80 1 0  7 2 3 2 2 2 2 1 1 2 0
0.05 0.11 1 0  7 1 3 2 1 1 1 1 1 1 0
1.11 1.03 0 0 10 3 4 2 3 3 2 3 3 2 1
1.11 1.19 0 0  9 1 4 1 1 1 1 2 2 1 1
0.47 1.25 0 0  8 3 4 2 2 2 2 3 3 3 0
1.74 1.13 0 0 10 2 2 4 3 3 3 2 3 2 0
1.05 0.75 1 0  9 2 4 1 1 3 1 1 1 1 1
0.95 0.80 0 0 11 2 5 3 2 3 2 3 4 3 1
0.68 0.29 0 1 10 1 3 2 1 1 1 1 1 1 0
0.47 0.34 0 1 11 1 4 3 2 2 2 2 2 2 1
0.74 1.14 0 0  8 1 4 3 2 4 3 2 3 4 0
1.11 1.13 0 1 11 2 3 5 2 3 3 3 4 3 0
0.74 0.79 0 0  7 1 4 2 2 1 2 2 2 2 1
0.47 0.68 1 0  8 3 4 3 2 2 2 3 2 1 0
0.05 0.03 0 0  7 3 3 2 1 2 1 1 2 1 0
0.89 0.92 1 0  8 3 3 2 2 2 2 4 2 2 0
0.42 0.36 0 0  9 2 5 2 3 3 2 4 3 2 1
0.63 0.96 0 1  9 2 4 2 1 2 1 1 2 1 1
0.42 0.85 0 0  8 3 3 2 2 1 2 2 2 2 0
0.47 0.18 1 0  7 1 3 3 1 2 1 1 2 2 0
0.16 0.21 0 0  9 2 3 2 1 2 2 2 2 1 1
0.00 0.16 0 0  9 1 2 3 1 1 1 1 1 1 0
0.26 0.25 0 0  8 2 1 1 2 2 1 1 2 1 0
0.58 0.30 0 1  8 2 4 4 2 3 2 2 2 1 0
0.79 0.92 0 0  8 3 3 1 3 2 2 2 2 3 0
0.84 1.47 0 0  8 2 5 3 2 2 3 4 2 2 0
0.68 1.13 0 0  9 2 4 3 1 3 1 1 2 1 0
0.53 0.66 0 1  7 2 2 2 1 2 1 2 2 1 0
0.32 0.25 1 0  7 2 3 1 1 2 1 2 1 1 0
0.21 1.03 0 1 10 2 3 2 5 5 4 4 5 4 0
0.42 0.43 1 0 11 1 3 2 2 2 2 1 2 2 0
0.68 0.07 0 0 10 1 3 3 2 2 2 2 3 2 0
0.42 0.47 0 0 10 1 1 2 2 3 2 2 2 2 0
0.74 0.76 1 0  8 2 3 2 2 1 1 1 1 1 0
1.53 1.75 0 1  8 2 2 3 2 4 2 4 4 2 0
0.79 0.63 0 0  9 1 2 2 1 1 1 1 2 1 0
1.05 1.60 1 0 10 3 2 2 2 3 1 1 2 1 0
0.26 0.37 0 0 11 1 3 2 1 3 1 1 2 1 1
0.32 0.25 0 0 10 1 2 1 1 1 1 1 2 1 0
0.63 1.69 0 0 10 4 4 5 3 4 3 4 4 3 0
0.84 0.71 0 1  9 3 3 2 2 3 1 2 2 2 0
0.53 0.26 0 0  7 2 4 2 2 3 2 1 3 2 0
1.26 0.70 0 1  9 3 3 3 3 3 4 3 2 2 0
0.26 0.31 0 1 11 1 3 1 1 2 1 2 2 2 0
1.21 0.74 1 0  7 2 3 1 2 2 2 2 2 1 0
0.89 0.86 0 1 11 2 3 2 5 2 5 2 4 3 0
0.84 0.41 0 0 10 3 4 2 3 4 3 3 4 2 0
1.00 1.74 1 0 10 4 4 1 2 4 3 4 4 3 0
0.84 1.75 0 0  9 3 4 4 2 4 1 2 2 2 0
0.68 0.71 0 0  7 2 4 2 2 4 2 2 4 3 1
0.47 0.30 0 0  7 2 3 2 1 2 1 2 1 1 0
0.21 0.16 0 0 11 2 3 3 1 3 1 4 2 1 0
0.47 0.37 0 0 10 1 3 3 2 3 2 3 2 2 0
0.53 0.50 0 0  8 3 3 3 2 3 2 2 2 2 0
0.47 0.93 1 0 11 2 2 1 1 1 1 1 1 1 0
1.26 1.49 0 1 11 2 3 2 2 2 2 2 3 2 1
0.21 0.45 0 0  8 2 3 2 2 2 1 1 1 1 0
0.05 0.23 1 0 11 1 3 1 1 2 1 1 2 1 0
1.26 1.61 0 0 10 2 4 2 2 5 3 4 3 4 1
1.21 1.08 0 0 10 3 3 2 2 3 2 3 2 2 0
0.63 0.38 0 0 11 3 4 2 2 3 2 2 3 1 0
0.84 1.14 0 0 11 2 4 2 1 2 1 1 2 1 1
0.11 0.34 0 0  8 1 4 2 1 2 2 2 3 3 0
0.21 0.30 0 0  9 3 3 3 2 4 2 2 3 2 0
0.74 0.30 0 0  7 3 3 2 2 2 2 2 2 2 0
0.53 0.57 0 0  8 1 2 2 1 2 1 1 1 1 0
0.32 0.22 0 0  7 2 2 2 1 1 1 1 1 1 0
1.68 1.81 0 0 10 4 3 4 3 3 3 4 3 3 0
0.63 0.76 0 0 10 2 4 1 1 1 1 3 1 2 1
0.89 0.51 0 0 11 1 2 2 2 2 2 2 2 2 0
1.21 0.76 0 0 10 3 3 2 2 3 2 1 4 2 0
0.63 0.45 0 1 10 2 3 2 2 2 2 3 2 2 1
0.89 0.88 0 0 11 3 3 1 1 2 2 2 2 2 0
0.79 0.63 0 0 10 2 4 2 2 1 2 1 2 2 0
0.42 0.36 0 0  9 2 3 4 2 4 1 2 2 1 0
0.32 0.54 1 0  8 3 4 4 2 1 1 1 3 1 0
0.47 0.33 0 0  9 2 3 1 1 2 1 2 1 1 0
0.32 0.48 0 0  8 2 3 2 2 3 2 2 2 1 0
0.47 0.64 0 0  7 3 3 2 2 3 2 2 1 2 0
0.00 0.01 1 0 10 1 3 2 1 1 1 1 1 1 0
0.47 0.04 0 1 11 3 4 1 3 4 2 3 4 2 0
1.00 0.79 1 0  8 2 4 2 2 3 2 3 2 2 0
0.32 0.47 0 0 10 3 2 2 2 2 1 1 2 2 0
0.26 0.20 0 0  9 1 2 2 1 1 1 1 1 2 0
1.11 0.47 0 0 10 3 3 3 2 3 2 3 2 2 0
0.95 0.45 0 1 10 3 4 1 1 3 2 1 3 3 0
1.00 1.34 1 0 10 2 4 1 1 3 2 3 4 2 0
1.00 1.50 0 1 11 3 4 2 2 2 2 2 1 4 1
0.53 0.57 0 0  9 3 5 2 2 3 2 3 3 2 0
0.47 0.75 0 1 10 1 3 2 2 3 2 4 2 2 0
0.58 0.67 0 0  7 2 4 2 2 2 2 3 3 2 0
0.68 0.17 0 1  9 1 3 2 2 2 2 2 2 1 0
1.74 1.07 0 1 10 3 4 2 2 4 4 4 4 4 0
0.11 0.00 1 0  9 1 3 3 2 2 1 1 1 1 0
0.37 0.26 0 0  8 2 1 2 2 2 1 1 2 1 0
0.74 1.09 0 1 10 3 3 2 2 2 2 2 3 2 0
0.95 0.61 0 1 11 3 4 2 2 4 2 3 2 2 0
0.63 0.75 1 0 10 3 3 3 2 3 1 2 2 1 0
0.58 0.42 0 0 11 2 2 4 2 3 2 2 3 2 0
0.95 1.18 0 0 10 3 4 3 2 3 2 4 3 2 0
0.05 0.11 0 1  9 1 3 3 1 1 1 1 1 1 1
0.84 0.66 1 0  9 3 3 2 1 3 1 2 1 2 0
0.84 1.16 0 0  9 2 4 1 2 2 2 2 3 2 0
0.21 0.18 1 0 10 2 4 2 2 2 2 2 1 1 0
1.21 0.57 0 1 11 4 4 2 3 4 2 4 4 2 1
0.21 0.30 0 0  7 2 2 3 4 2 3 4 3 3 0
0.53 0.29 0 0  7 2 3 2 2 3 1 2 3 1 0
0.32 0.30 0 0 11 3 3 3 2 4 3 3 3 1 0
0.53 1.13 1 0  9 3 4 1 2 5 2 4 3 2 0
0.00 0.06 1 0  9 1 3 2 1 1 1 1 1 1 0
0.58 0.29 0 0 11 2 3 2 2 2 1 1 2 2 0
0.58 1.86 0 0  8 3 4 3 4 4 3 3 3 3 1
0.58 0.42 1 0  8 1 3 1 1 2 1 1 1 1 0
0.47 0.00 0 0  9 3 4 3 3 4 2 3 4 2 1
1.74 1.66 0 0 11 2 3 1 2 2 2 2 2 2 0
0.26 0.55 0 0  8 2 3 3 2 2 2 2 2 2 0
1.16 0.85 1 0 11 3 3 1 1 1 2 2 2 2 0
1.05 0.38 0 0 10 1 4 1 3 2 3 4 3 3 0
0.47 0.00 1 0 10 3 3 2 1 2 1 1 1 1 0
0.89 0.70 1 0 11 1 4 2 2 3 2 3 4 3 1
0.42 0.33 0 0 11 2 3 1 2 3 2 2 2 1 0
1.26 1.72 1 0  9 1 3 2 2 2 2 3 3 4 0
0.42 0.59 0 0  9 3 4 3 2 2 2 1 3 2 0
0.16 0.13 0 0 10 1 2 3 2 1 2 1 3 2 0
0.58 0.32 0 0  8 2 4 1 1 2 1 1 1 1 0
0.16 0.37 0 0  9 2 1 2 2 1 2 1 1 2 0
0.74 1.42 0 0 11 2 1 3 2 2 2 3 1 2 0
0.58 1.38 1 0 10 1 4 4 2 4 3 3 4 3 0
0.84 1.01 0 0  8 3 3 3 2 2 2 1 2 2 0
0.53 2.02 0 0  8 4 4 1 2 5 2 3 3 2 0
0.16 0.84 1 0  8 3 5 2 2 3 3 4 4 3 1
0.11 0.25 0 0 11 1 3 2 1 1 1 1 3 1 0
1.53 1.88 0 1  7 3 3 3 2 1 2 4 2 2 1
0.42 0.72 1 0  7 1 3 2 2 2 1 3 4 2 0
0.63 0.15 0 0 11 3 4 3 1 2 1 1 3 2 1
0.37 0.49 1 0  7 1 3 3 2 2 1 2 2 2 0
0.21 0.83 0 0 11 1 2 2 1 1 1 2 1 1 0
1.00 0.66 0 0  9 2 3 3 3 2 2 2 3 2 0
0.84 1.46 0 0 10 4 4 3 2 4 2 4 4 3 0
0.74 0.69 1 0  7 3 3 3 2 2 1 2 2 1 0
0.53 1.46 0 0  9 2 4 4 2 3 2 3 4 3 0
0.26 0.57 1 0 11 2 5 2 2 3 2 2 2 2 0
0.68 0.68 0 0 10 1 4 1 1 2 2 2 1 2 0
0.74 1.23 0 0 10 2 5 2 2 2 2 3 2 3 0
0.68 0.77 0 0  9 3 4 2 2 4 3 3 4 4 1
0.74 0.36 0 0  9 3 4 1 1 2 1 2 2 1 0
0.32 0.41 0 0 10 2 4 2 2 4 1 2 2 1 1
0.11 0.31 0 0 10 2 3 1 1 2 1 1 2 2 0
0.58 0.72 1 0  7 3 2 2 1 2 1 1 1 1 0
0.84 0.73 0 1 11 3 3 3 2 2 2 2 1 2 0
1.84 0.99 1 0 11 2 2 1 2 2 2 3 2 2 0
1.32 0.10 1 0 11 3 4 3 3 3 2 3 3 2 0
0.26 0.57 0 0  8 3 2 2 2 2 3 1 4 3 0
0.47 0.86 0 0 10 1 3 3 2 2 1 1 1 1 0
0.68 1.74 1 0 10 1 4 2 1 2 1 1 3 1 1
